image,calib_ok,n_qr,n_pred,n_gt,n_tp,n_fp,n_fn,iou_px,precision_px,recall_px,f1_px,mae_mm,rmse_mm,det_precision,det_recall,det_f1,n_qr_gt,qr_mean_iou,qr_tp,qr_fp,qr_fn,qr_det_p,qr_det_r,qr_det_f1,elapsed_s
Multimedia_31.jpg,True,3,2,2,2,0,0,0.7094,0.9197,0.7550,0.8293,30.9723,36.4389,1.0000,1.0000,1.0000,3,0.7159,3,0,0,1.0000,1.0000,1.0000,35.8850
Multimedia_32.jpg,True,3,2,2,2,0,0,0.7371,0.9292,0.7836,0.8502,30.5212,34.7644,1.0000,1.0000,1.0000,3,0.7047,3,0,0,1.0000,1.0000,1.0000,4.7240
Multimedia_33.jpg,True,3,2,2,2,0,0,0.8566,0.9456,0.9002,0.9223,10.5172,12.3256,1.0000,1.0000,1.0000,3,0.7069,3,0,0,1.0000,1.0000,1.0000,4.6940
Multimedia_34.jpg,True,3,2,2,1,1,1,0.4100,0.3002,0.3743,0.3332,27.3682,33.4785,0.5000,0.5000,0.5000,3,0.7320,3,0,0,1.0000,1.0000,1.0000,4.4320
Multimedia_35.jpg,True,3,1,2,0,1,2,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,,3,0.6705,3,0,0,1.0000,1.0000,1.0000,8.7310
Multimedia_36.jpg,True,3,2,2,2,0,0,0.9288,0.9417,0.9853,0.9630,1.8825,2.8083,1.0000,1.0000,1.0000,3,0.6920,3,0,0,1.0000,1.0000,1.0000,4.6760
Multimedia_37.jpg,True,3,2,2,1,1,1,0.4615,0.4060,0.4617,0.4321,1.5123,2.5149,0.5000,0.5000,0.5000,3,0.6380,3,0,0,1.0000,1.0000,1.0000,6.6480
Multimedia_38.jpg,False,2,2,2,1,1,1,0.4459,0.6698,0.4795,0.5589,,,0.5000,0.5000,0.5000,2,0.7339,2,0,0,1.0000,1.0000,1.0000,7.7690
Multimedia_39.jpg,True,3,2,2,2,0,0,0.8615,0.9664,0.8927,0.9281,2.9155,3.2417,1.0000,1.0000,1.0000,3,0.6804,3,0,0,1.0000,1.0000,1.0000,4.4900
Multimedia_40.jpg,True,3,2,2,2,0,0,0.8368,0.9448,0.8812,0.9119,4.4065,5.6244,1.0000,1.0000,1.0000,3,0.6810,3,0,0,1.0000,1.0000,1.0000,4.6950
Multimedia_41.jpg,True,3,2,2,2,0,0,0.8757,0.9567,0.9159,0.9359,1.2460,1.4991,1.0000,1.0000,1.0000,3,0.7353,3,0,0,1.0000,1.0000,1.0000,4.7740
Multimedia_42.jpg,True,3,2,2,1,1,1,0.3697,0.6014,0.4669,0.5257,83.1009,101.1758,0.5000,0.5000,0.5000,3,0.6361,3,0,0,1.0000,1.0000,1.0000,4.4900
Multimedia_43.jpg,True,3,2,2,2,0,0,0.4232,0.6474,0.5592,0.6001,36.6441,44.5937,1.0000,1.0000,1.0000,3,0.6874,3,0,0,1.0000,1.0000,1.0000,4.6280
Multimedia_44.jpg,True,3,2,2,2,0,0,0.8992,0.9251,0.9801,0.9518,0.7251,0.9432,1.0000,1.0000,1.0000,2,0.4428,2,1,0,0.6667,1.0000,0.8000,4.2960
Multimedia_45.jpg,True,3,2,2,2,0,0,0.9058,0.9465,0.9598,0.9531,0.9775,1.6712,1.0000,1.0000,1.0000,3,0.6632,3,0,0,1.0000,1.0000,1.0000,4.9800
Multimedia_46.jpg,True,3,2,2,2,0,0,0.8093,0.8333,0.9898,0.9048,1.4049,2.0853,1.0000,1.0000,1.0000,3,0.6854,3,0,0,1.0000,1.0000,1.0000,4.3510
Multimedia_47.jpg,True,3,2,2,2,0,0,0.7846,0.8271,0.9765,0.8956,1.9851,2.5552,1.0000,1.0000,1.0000,3,0.6386,3,0,0,1.0000,1.0000,1.0000,4.6160
Multimedia_48.jpg,True,3,2,0,0,0,0,,,,,,,,,,3,0.6789,3,0,0,1.0000,1.0000,1.0000,8.7000
Multimedia_49.jpg,True,3,2,0,0,0,0,,,,,,,,,,3,0.6123,3,0,0,1.0000,1.0000,1.0000,10.2820
Multimedia_50.jpg,True,3,0,0,0,0,0,,,,,,,,,,3,0.6770,3,0,0,1.0000,1.0000,1.0000,6.8420
Multimedia_51.jpg,False,3,2,0,0,0,0,,,,,,,,,,3,0.4429,2,1,1,0.6667,0.6667,0.6667,7.4750
Multimedia_52.jpg,False,3,0,0,0,0,0,,,,,,,,,,3,0.4767,2,1,1,0.6667,0.6667,0.6667,6.9350
